experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_172_EPI.txt,10,_,phpyr,_,172,_,EPI,.txt,[13C]9H7O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_173_EPI.txt,10,_,acon-C,_,173,_,EPI,.txt,C6H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyc3p_173_EPI.txt,10,_,glyc3p,_,173,_,EPI,.txt,C[13C]2H8O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_173_EPI.txt,10,_,phe-L,_,173,_,EPI,.txt,[13C]9H10NO2-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_173_EPI.txt,10,_,skm,_,173,_,EPI,.txt,C7H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_174_EPI.txt,10,_,acon-C,_,174,_,EPI,.txt,C5[13C]H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_174_EPI.txt,10,_,acon-C,_,174,_,EPI,.txt,C5[13C]H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyc3p_174_EPI.txt,10,_,glyc3p,_,174,_,EPI,.txt,[13C]3H8O6P-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_174_EPI.txt,10,_,skm,_,174,_,EPI,.txt,C6[13C]H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_174_EPI.txt,10,_,skm,_,174,_,EPI,.txt,C6[13C]H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_175_EPI.txt,10,_,acon-C,_,175,_,EPI,.txt,C4[13C]2H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_175_EPI.txt,10,_,acon-C,_,175,_,EPI,.txt,C4[13C]2H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_175_EPI.txt,10,_,skm,_,175,_,EPI,.txt,C5[13C]2H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_175_EPI.txt,10,_,skm,_,175,_,EPI,.txt,C5[13C]2H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_176_EPI.txt,10,_,acon-C,_,176,_,EPI,.txt,C3[13C]3H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_176_EPI.txt,10,_,acon-C,_,176,_,EPI,.txt,C3[13C]3H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_176_EPI.txt,10,_,skm,_,176,_,EPI,.txt,C4[13C]3H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_176_EPI.txt,10,_,skm,_,176,_,EPI,.txt,C4[13C]3H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_177_EPI.txt,10,_,acon-C,_,177,_,EPI,.txt,C2[13C]4H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_177_EPI.txt,10,_,acon-C,_,177,_,EPI,.txt,C2[13C]4H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_177_EPI.txt,10,_,skm,_,177,_,EPI,.txt,C3[13C]4H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_177_EPI.txt,10,_,skm,_,177,_,EPI,.txt,C3[13C]4H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_178_EPI.txt,10,_,acon-C,_,178,_,EPI,.txt,C[13C]5H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_178_EPI.txt,10,_,acon-C,_,178,_,EPI,.txt,C[13C]5H5O6-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_178_EPI.txt,10,_,skm,_,178,_,EPI,.txt,C2[13C]5H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_skm_178_EPI.txt,10,_,skm,_,178,_,EPI,.txt,C2[13C]5H9O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_acon-C_179_EPI.txt,10,_,acon-C,_,179,_,EPI,.txt,[13C]6H5O6-,
