,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
his-L,954634.763,911221.6098,908398.4057,923851.7011,886963.6756,934456.326,922704.5935,901213.5004,910268.8187,724238.0955,759367.0519,831364.3168,701211.9554,676307.6992,695835.58,734513.4869,698262.1342,627352.3526,664556.088,602265.9372,418189.3503,423053.1986,472066.5452,529564.9224,1166606.212,1072010.611,959447.5817,857551.0169,837699.1871,846925.2034,933834.1489,698145.3132
hxan,19859.0207,23770.38772,19440.24748,20773.94536,19691.34044,21702.24258,22374.88453,20614.63494,19373.7974,20634.09661,24179.0,23516.72106,18059.25471,18795.7125,22370.06005,20292.26918,22433.19317,20295.63055,21424.10833,22160.92797,17369.56388,16645.34205,18112.54552,19021.93739,23951.65646,22371.45332,22046.86549,21070.52538,18409.19913,21210.2162,18439.91826,16034.78694
icit,111138.2946,103741.2002,116907.4608,107436.4649,87249.69656,92825.29388,105771.5505,84151.0,127830.3784,126975.1699,113740.2881,107018.1267,75608.99084,83704.10239,86155.18448,85852.13477,141059.8494,116195.6787,148089.2931,124401.1385,68631.3786,75958.62505,78097.92039,78987.36045,135273.1348,186702.863,112133.0,91883.60026,83697.681,72239.80393,86357.24079,72647.5563
imp,12120.67093,12975.62264,11726.04339,11931.3828,12737.92463,10620.54794,9004.485881,10591.13154,12162.20849,13443.24649,15792.24117,12805.0,8282.353793,9251.19481,8164.304071,9658.67526,15008.77322,13414.0,15180.94197,12095.8562,8557.970804,8536.0,7453.232579,9259.602114,12743.3374,12842.94164,11992.0,10937.87474,9792.391931,10129.47073,9828.389821,8557.573067
ins,628590.0791,613109.6691,730955.02,632142.5588,644558.8868,575468.0021,565455.765,615061.959,641849.6839,596520.2118,596537.3691,744689.9168,677509.8581,579149.1792,540227.1164,600785.1274,710676.1863,707625.729,690148.6705,641002.4064,451707.82,433584.6923,460582.6045,443246.3029,785516.9213,647678.1911,617246.751,607289.5446,611827.0115,564865.8907,583509.1866,441156.9098
itp,21660.92354,25728.97036,22771.26413,23464.50932,17838.7282,17613.01033,18758.25543,17957.44286,33277.04839,23145.41572,25484.1156,20850.39915,17020.9185,14002.89286,14546.27512,13290.34985,21716.0,23039.09539,27548.61095,23655.0653,8959.703689,10907.7789,11927.00893,14051.50104,34027.63213,33442.94916,24828.25605,18772.80377,17870.20634,20969.58145,17565.15241,11348.95536
lac-L,1076789.073,1090092.15,1100205.444,1145602.615,1053641.444,985410.2002,1069524.635,1054764.502,1227591.145,1333112.83,1499738.88,1431743.046,1037711.897,1113815.705,1231309.816,1262690.338,1592636.011,1173920.594,1303255.422,1358039.897,963382.0926,804556.3557,910996.1086,1055829.839,1053996.652,1025336.992,1019795.127,934211.2728,858547.1853,853941.497,964315.3099,774278.1424
met-L,795408.271,826883.0287,903635.9803,847153.7352,840287.6976,853516.8917,811415.1245,729047.9551,873370.3181,882087.8411,749814.3561,790164.6083,722531.9493,733666.5636,732048.0049,760219.0497,662724.4109,686389.3402,700924.5335,789672.6513,486543.7749,464381.7107,539961.6296,535159.0925,985731.6232,974939.2855,835382.0871,865177.1196,789446.9618,815217.458,851901.4297,729584.3084
mmal,122598.6934,122764.2369,122911.3518,123608.9516,107663.0153,102372.3809,117390.7399,112961.8847,140334.6974,118942.8455,118630.0412,113759.3456,102208.8589,104763.9116,105780.7147,103187.11,172024.048,143062.1357,164372.8678,141187.0317,113848.2289,101790.8727,107612.1799,104647.9593,130706.6459,120415.6698,112734.1117,107613.668,102010.9961,92637.53156,94553.08318,103190.648
nad,386445.0667,399446.0489,413996.054,426200.878,423887.6463,369698.0366,357365.3009,375755.5905,448633.0,447401.1809,418851.0,380393.3813,361896.0,362026.3629,327357.7828,343252.8596,454007.4483,426196.3925,458153.9953,435655.0,285564.6862,265599.0,295489.4241,303820.3178,532969.5251,485904.3742,378832.9071,378039.821,360991.322,320960.09,346065.2869,253837.0
nadh,68009.0,70991.0,79274.0,75878.0,80765.0,74056.0,69997.0,70162.0,79440.0,79274.0,81759.0,71488.0,54341.0,56246.0,65441.0,64861.0,83499.0,75464.0,91783.0,72233.0,56117.6578,58979.0,47755.15754,54175.0,88386.0,91534.0,78777.0,67346.0,71488.0,61382.0,63784.0,41998.0
nadp,79078.82661,99896.73794,114839.779,113945.1958,79526.34854,77624.96683,78249.60514,90564.24378,111831.025,110453.0422,89665.40794,92242.0,69797.0,71209.81329,71429.55753,72588.82064,99067.29022,110763.0,107723.8281,98509.30611,50911.0,55370.23442,58185.35595,64545.46729,132089.4933,115568.1358,110094.1043,84751.97666,67833.26731,84166.32156,78830.0,54350.06387
