,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
gam6p.gam6p_1.Light,4.83565523010058,4.28886325787595,5.21005627939156,4.60544756357481,4.1787676755686,0.00838162837657359,0.00370680075903811,-0.0153462649508944,0.012902452751137,0.00504252383585187,0.999929557461938,0.999694562650553,0.999209905849831,0.99530909257112,0.999089925839718,0.008,0.008,0.008,0.008,0.008,4.0,2.0,2.0,4.0,8.0,9,8,8,9,10
glx.glx_1.Light,1.6397241493666,1.61941184033382,1.33257185171318,2.61676192982509,2.75969304231649,2.03058795242896,8.71702480817758,11.2699415690293,2.07759062606881,7.64181987010281,0.990211513190659,0.981655411776026,0.987293214562199,0.995983082293964,0.999388365137066,1.0,10.0,5.0,2.0,5.0,20.0,100.0,100.0,50.0,100.0,5,4,5,5,4
fdp.fdp_1.Light,3.09945891354091,0.594813769894764,0.598166250234559,0.662691035361651,3.30076253009815,-0.14690801441095,0.00595478241449316,0.00372005373028557,-0.0126641589002215,0.144679918953835,0.999872122842435,0.997249288921624,0.999680328559492,0.999399747631636,0.99597590566109,0.2,0.005,0.002,0.1,0.2,5.0,1.0,1.0,2.0,5.0,5,7,5,5,5
mmal.mmal_2.Light,15.8597967388761,0,0,0,25.3302727497789,0.799351928924721,0,0,0,0.832142437409129,0.95347033984715,0,0,0,0.973974864039059,0.02,0,0,0,0.02,1.0,0,0,0,1.0,6,0,0,0,6
dimp.dimp_1.Light,14.6356509695532,7.31903862322383,6.87697052187582,5.86608922546097,31.1801609110843,0.113138003464127,0.00197043699031411,0.035521057217734,-0.0138498471339663,-1.05935929908689,0.99604878863843,0.99513168952319,0.998841494915294,0.999041288932122,0.999732300315347,0.02,0.02,0.02,0.02,0.02,5.0,1.0,1.0,2.0,5.0,8,6,6,7,8
glyclt.glyclt_1.Light,8.91230558547802,12.9388325336011,12.3570143320863,14.7467650902336,8.67221166508313,3.06421416326229,-2.09806237043624,0.682496754792975,-18.551008844386,3.87126153857804,0.999735557360711,0.999270104918007,0.999275641979032,0.995067371969607,0.999854068610838,0.05,0.5,0.5,1.0,0.2,20.0,10.0,100.0,50.0,20.0,9,5,7,6,7
urate.urate_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
succ.succ_1.Light,0.0826541556035959,0.0828456479525034,0.0791029060163443,0.0825674705542867,0.0787509294074459,0.00115211374535846,0.0469592028050314,0.105018809198544,0.0120786601255068,0.00249401716404086,0.999951589464915,0.999496493164827,0.996727317323541,0.99886322920474,0.997840098260091,0.1,0.2,1.0,0.2,0.1,5.0,10.0,20.0,20.0,5.0,6,6,5,7,6
dgmp.dgmp_1.Light,0.050521000035816,45.9578911860939,45.0571584502186,52.8983243272584,0.114335484633132,-0.00168984337040097,0.0553483613930061,-0.0620729477799639,-1.24355454527539,-0.00359081762514579,0.998742215489545,0.99739572681646,0.998669958279832,0.999814559005826,0.999229775289006,0.04,0.008,0.008,0.02,0.04,8.0,0.8,2.0,8.0,8.0,6,7,8,5,7
ade.ade_1.Light,8.08063376451741,5.46177619438132,7.33382727227034,7.00510918417948,6.43897056308449,0.262468604274584,0.0216523439479019,0.0293720704904577,0.0263439914570575,0.342788880314768,0.993384897047898,0.997183203667929,0.996807540039679,0.905953368167756,0.992795054365401,0.004,0.008,0.008,0.008,0.008,0.2,0.2,0.8,0.8,0.8,6,5,7,7,7
