,OxicRph-pyrE82_Broth-2,OxicRph-pyrE82_Broth-3,OxicRph-pyrE82_Broth-5,OxicRph-pyrE82_Broth-6,OxicRpoBE546V_Broth-1,OxicRpoBE546V_Broth-2,OxicRpoBE546V_Broth-3,OxicRpoBE546V_Broth-4,OxicRpoBE546V_Broth-5,OxicRpoBE546V_Broth-6,OxicRpoBE672K-rph-pyrE82_Broth-1,OxicRpoBE672K-rph-pyrE82_Broth-3,OxicRpoBE672K-rph-pyrE82_Broth-4,OxicRpoBE672K-rph-pyrE82_Broth-6,OxicRpoBE672K_Broth-1,OxicRpoBE672K_Broth-2,OxicRpoBE672K_Broth-3,OxicRpoBE672K_Broth-4,OxicRpoBE672K_Broth-5,OxicRpoBE672K_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
f1p,0.0664933130000006,0.0579877719999989,0.0714072869999996,0.0623217030000007,0.0269478270000005,0.0329047140000004,0.0293450369999996,0.0414837860000004,0.0409297949999995,0.0336902730000004,0.0299753890000003,0.0323938129999995,0.0338184880000006,0.0335625499999994,0.0226599999999996,0.0354677790000005,0.0342126930000005,0.0231207200000003,0.0257995280000002,0.0242622909999997,0.019249418,0.0375146279999997,0.0519125200000003,0.0225576099999998,0.0216935010000002,0.0304578689999995
f6p,0.489662936000002,0.620530415,0.527602842000007,0.512776434999991,0.401717345000005,0.631117702999984,0.568581767999996,0.507421550999994,0.529060623000008,0.615575938000006,0.568263801999998,0.620563718999999,0.465077736000008,0.550347511999991,0.563301646500006,0.578707824499996,0.457917704500004,0.512438070500011,0.641503266500002,0.444440508500005,0.378414190000001,0.433356963999996,0.419131955000007,0.350038740000002,0.454762823000007,0.537107869000008
fad,0.0137044040000002,0.0223222760000003,0.0200868880000002,0.0305634969999995,0.0111782910000001,0.0143012660000002,0.010677008,0.00913342499999993,0.0084945039999999,0.0170843749999997,0.012687106,0.0108468179999998,0.0190067800000001,0.00914275699999997,0.0145262890000004,0.0111968460000001,0.0108797799999998,0.0174945460000001,0.0106750790000002,0.0130316540000002,0.0233931759999999,0.0123970440000001,0.0126921729999997,0.0158915759999997,0.0166770179999997,0.0150211880000003
fdp,1.18287541599999,1.08739071199999,1.16510992400002,1.17438207,1.14533956000001,1.01871966399997,0.78359309099998,0.872546055000012,0.863759040999987,0.948178554000013,1.07869308099999,1.16714227600003,0.986570744000005,1.182966021,0.62351781450001,1.1191906855,1.02780789949998,0.7247994665,1.33377456550002,0.869776177499977,0.503798959499992,0.574107141500005,0.528871332499992,0.710693739500008,0.602525291500001,0.523895455499997
fum,0.278961769999999,0.156610129999999,0.201363326999997,0.189209755999997,0.484576402000005,0.445165915000005,0.363087317999998,0.48668794000001,0.769463839999988,0.367747629999997,0.349531216999996,0.363544204999998,0.386108410000005,0.373093206000003,0.386305694499996,0.399751572500005,0.377571610500008,0.447308923499991,0.375337600500003,0.398355398499991,0.279411597000002,0.287111447999998,0.254258991,0.232534646999996,0.286383734000001,0.259669631999998
g1p,0.0437743139999992,0.0974345199999977,0.0532337380000009,0.0915546709999984,0.00914895546204241,0.0141674588036583,0.0395964569999997,0.0168981054960804,0.0185737534101697,0.0381336129999996,0.0330874029999998,0.0533180030000007,0.0180641349999998,0.0451228490000001,0.0494437775000005,0.0578256315000004,0.0666574574999999,0.0318503704999997,0.0470354934999994,0.0617996005000009,0.0578441265000006,0.0451453614999997,0.0588229594999991,0.0451521405000007,0.0524744464999998,0.0665613365000009
g6p,0.799548438999986,0.734174178999988,0.523220383000009,0.583145693999996,0.396093952999994,0.353481241999992,0.367573885000008,0.460125586999994,0.335501369999996,0.547733766000006,0.501984956000001,0.558259447000004,0.588186846999987,0.707506816999998,0.368868082000005,0.342042301999999,0.366545686999999,0.333696108999999,0.457131765999991,0.347314313000006,0.349887593999996,0.347104713000002,0.417975418000009,0.340637825999997,0.490794630999986,0.355993751000008
gam6p,0.089721574999999,0.0633363399999994,0.0655924169999993,0.0742120889999996,0.067779045000001,0.0906579480000004,0.0594743569999993,0.0645360259999993,0.0712105659999997,0.0493402800000005,0.0759721050000004,0.0634791339999992,0.0673172480000003,0.0589633809999995,0.0705193109999994,0.0782867570000007,0.0383575119999999,0.0507749929999993,0.0637749420000006,0.0437093939999994,0.0459448020000006,0.0480017340000009,0.0851688879999987,0.0395722169999999,0.0565399660000009,0.0787716990000006
gdp,0.111512796,0.152862044,0.0990010029999988,0.141962255,0.141607969999998,0.124261046000001,0.0703682270000015,0.153123746000003,0.140889474000002,0.0818146609999999,0.0568285680000002,0.107532645999999,0.0686825009999991,0.0943944689999984,0.140512087000001,0.153510584000002,0.0775560080000008,0.166071982999997,0.130167493000001,0.0876544289999982,0.0703515949999993,0.0737330019999988,0.126201033000001,0.062097137999999,0.0861063490000006,0.121460960999998
gln-L,1.37181108300001,1.48751890199998,1.45759493900003,1.37135621399997,1.20014909699999,1.65247807099997,1.46937262,1.21537656999999,1.54516370900001,1.11636725699999,1.48932465899998,1.678172313,1.04114435500001,1.32912130099999,1.25858864300001,1.25433339200002,1.12572456299997,1.22706890100001,1.44277431699999,1.22051741200001,1.27538605700002,1.348395127,1.40923773300003,1.81490641999999,1.44519883900003,1.70472787299997
