id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_
16749,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,coa,coa.coa_1.Light,0.170860763,mM,t,
16750,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,ctp,ctp.ctp_1.Light,0.120471213,mM,t,
16751,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dadp,dadp.dadp_1.Light,0.010820162,mM,t,
16752,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,damp,damp.damp_1.Light,0.000953094,mM,t,
16753,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,datp,datp.datp_1.Light,0.059363071,mM,t,
16754,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dcdp,dcdp.dcdp_1.Light,0.011816474,mM,t,
16755,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dcmp,dcmp.dcmp_1.Light,0.001409176,mM,t,
16756,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dctp,dctp.dctp_1.Light,0.057714244,mM,t,
16757,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dgdp,dgdp.dgdp_1.Light,0.006005851,mM,t,
16758,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dhap,dhap.dhap_1.Light,0.229858997,mM,t,
16759,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dtdpglu,dtdpglu.dtdpglu_1.Light,0.000173156,mM,t,
16760,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dtmp,dtmp.dtmp_1.Light,0.005717232,mM,t,
16761,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dttp,dttp.dttp_1.Light,0.038487741,mM,t,
16762,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dump,dump.dump_1.Light,0.006197839,mM,t,
16763,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,dutp,dutp.dutp_1.Light,0.002011956,mM,t,
16764,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,fad,fad.fad_1.Light,0.017031169,mM,t,
16765,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,fdp,fdp.fdp_2.Light,0.991188276,mM,t,
16766,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,fum,fum.fum_1.Light,0.55620079,mM,t,
16767,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-2,131206_0_OxicEvo03EcoliGlcM9_Broth-2,g1p,g1p.g1p_1.Light,0.026893394,mM,t,
