sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,gtp,C10H12N5O10P2-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.132,0.029,0.003,0,0,0,0,0,0,,,,,1,0.161,0,0,0,0,0,0,0,0,0,,,,0,3.746,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,gtp,C10H11N5O7P-,"[True, True, True, True, True, True, True, True, True, True]",EPI,1,0.131,0.022,0.002,0,0,0,0,0,0,,,,,1,0.162,0,0,0,0,0,0,0,0.159,0,,,,0,3.991,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
OxicWtGlc,0,icit,C6H7O7-,"[True, True, True, True, True, True]",EPI,1,0.068,0.016,0.001,0,0,0,,,,,,,,1,0.09,0.009,0,0,0,0,,,,,,,,0,35.12,27.757,1.467,0,0,0,,,,,,,,0,-0.022,0.007,0.001,0,0,0,,,,,,,
OxicWtGlc,0,icit,C6H5O6-,"[True, True, True, True, True, True]",EPI,1,0.068,0.014,0.001,0,0,0,,,,,,,,1,0.077,0.011,0,0,0,0,,,,,,,,0,9.12,22.139,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,icit,C5H3O3-,"[True, True, True, True, True, False]",EPI,1,0.056,0.007,0,0,0,,,,,,,,,1,0.099,0.007,0.001,0.006,0.003,,,,,,,,,0,15.121,45.596,90.659,19.066,0,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,icit,C3H5O2-,"[False, False, True, True, True, False]",EPI,1,0.034,0.005,0,,,,,,,,,,,1,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,mal-L,C4H5O5-,"[True, True, True, True]",EPI,1,0.046,0.011,0,0,,,,,,,,,,1,0.061,0.005,0,0,,,,,,,,,,0,40.003,0,0,0,,,,,,,,,,0,-0.016,0.006,0,0,,,,,,,,,
OxicWtGlc,0,mal-L,C4H3O4-,"[True, True, True, True]",EPI,1,0.045,0.009,0,0,,,,,,,,,,1,0.08,0.017,0,0,,,,,,,,,,0,78.908,44.919,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,mal-L,C3H303-,"[False, True, True, True]",EPI,1,0.067,0.002,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,mal-L,C2H3O3-,"[True, True, False, False]",EPI,1,0.023,0.006,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,met-L,C5H10NO2S-,"[True, True, True, True, True]",EPI,1,0.068,0.051,0.003,0,0,,,,,,,,,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,0,0.068,0.051,0.003,0,0,,,,,,,,
OxicWtGlc,0,met-L,CH3S-,"[False, False, False, False, True]",EPI,1,0.019,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
