mapping_id,rxn_id,rxn_description,used_,reactants_elements_tracked,products_elements_tracked,comments_,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
central02,FUMt2_3pp,,TRUE,C,C,individual,1*fum_p,abcd,0.5*fum_c+0.5*fum_c,abcd+dcba
central02,G1PPpp,,TRUE,C,C,individual,1*g1p_c,abcdef,1*glc_DASH_D_c,abcdef
central02,G3PD2,,TRUE,C,C,individual,1*glyc3p_c,abc,1*dhap_c,abc
central02,G3PD2_reverse,,TRUE,C,C,individual,1*dhap_c,abc,1*glyc3p_c,abc
central02,G3PD5,,TRUE,C,C,individual,1*glyc3p_c,abc,1*dhap_c,abc
central02,G3PD6,,TRUE,C,C,individual,1*glyc3p_c,abc,1*dhap_c,abc
central02,G3PD7,,TRUE,C,C,individual,1*glyc3p_c,abc,1*dhap_c,abc
central02,G3PT,,TRUE,C,C,individual,1*glyc3p_c,def,0.5*glyc_c+0.5*glyc_c,def+fed
central02,G5SADs,,TRUE,C,C,individual,1*glu5sa_c,abcde,1*1pyr5c_c,abcde
central02,G6PDH2r,,TRUE,C,C,individual,1*g6p_c,abcdef,1*6pgl_c,abcdef
central02,G6PDH2r_reverse,,TRUE,C,C,individual,1*6pgl_c,abcdef,1*g6p_c,abcdef
central02,GAPD,,TRUE,C,C,individual,1*g3p_c,abc,1*13dpg_c,abc
central02,GAPD_reverse,,TRUE,C,C,individual,1*13dpg_c,abc,1*g3p_c,abc
central02,GHMT2r,,TRUE,C,C,individual,1*ser_DASH_L_c,abc,1*gly_c+1*mlthf_c,ab+c
central02,GHMT2r_reverse,,TRUE,C,C,individual,1*gly_c+1*mlthf_c,ab+c,1*ser_DASH_L_c,abc
central02,GK1,,TRUE,C,C,modified,1*atp_c+1*gmp_c,abcdefghij+klmnopqrst,1*adp_c+1*gdp_c,abcdefghij+klmnopqrst
central02,GK1_Full,,FALSE,C,C,modified,1*atp_c+1*gmp_c,abcdefghij+klmnopqrst,1*adp_c+1*gdp_c,abcdefghij+klmnopqrst
central02,GLCP,,TRUE,C,C,individual,,,,
central02,GLCP_Full,,FALSE,C,C,individual,1*glycogen_c,abcdef,1*g1p_c,abcdef
