rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping
NADSYN2,NADSYN_anaerobic,"[ASPO5,QULNS,NNDPR,NNATr,NADS1,NADK]",TRUE,combo,    ,
NADSYN2,ASPO5,,TRUE,add NADSYN_anaerobic,1 xasp_DASH_L_c 1 xfum_c > 1 xiasp_c 1 xsucc_c,"#abcd #efgh > #abcd #efgh,#abcd #efgh > #abcd #hgfe"
NADSYN2,QULNS,,TRUE,add NADSYN_anaerobic,1 xiasp_c 1 xdhap_c > 1 xquln_c,#abcd #efg > #abcdefg
NADSYN2,NNDPR,,TRUE,add NADSYN_anaerobic,1 xquln_c 1 xprpp_c > 1 xnicrnt_c 1 xco2_c,#abcdefg #ABCDE > #ABCDEbcdefg #a
NADSYN2,NNATr,,TRUE,add NADSYN_anaerobic,1 xnicrnt_c 1 xatp_c > 1 xdnad_c,#abcdefghijk #lmnopqrstuv > #abcdefghijklmnopqrstu
NADSYN2,NADS1,,TRUE,add NADSYN_anaerobic,1 xdnad_c > 1 xnad_c,#abcdefghijklmnopqrstu > #abcdefghijklmnopqrstu
NADSYN2,NADK,,TRUE,add NADSYN_anaerobic,1 xnad_c > 1 xnadp_c,#abcdefghijklmnopqrstu > #abcdefghijklmnopqrstu
,NADSALVAGE,"[NADPPPS,NADN,NNAM,NAMNPP,NMNN,NMNDA,NMNAT,NADDP,ADPRDP]",TRUE,combo,    ,
,NADPPPS,,TRUE,add NADSALVAGE,1 xnadp_c > 1 xnad_c,#abcdefghijklmnopqrstu > #abcdefghijklmnopqrstu
,NADN,,TRUE,add NADSALVAGE,1 xnad_c > 1 xadprib_c 1 xncam_c,#abcdefghijklmnopqrstu > #abcdelmnopqrstu #fghijk
,NNAM,,TRUE,add NADSALVAGE,1 xncam_c > 1 xnac_c,#abcdef > #abcdef
,NAMNPP,,TRUE,add NADSALVAGE,1 xprpp_c 1 xnac_c > 1 xnicrnt_c,#abcde #fghijk > #abcdefghijk
,NMNN,,TRUE,add NADSALVAGE,1 xnmn_c > 1 xr5p_c 1 xncam_c,#abcdefghijk > #abcde #fghijk
,NMNDA,,TRUE,add NADSALVAGE,1 xnmn_c > 1 xnicrnt_c,#abcdefghijk > #abcdefghijk
,NMNAT,,TRUE,add NADSALVAGE,1 xnmn_c 1 xatp_c > 1 xnad_c,#abcdefghijk #lmnopqrstu > #abcdefghijklmnopqrstu
,NADDP,,TRUE,add NADSALVAGE,1 xnad_c > 1 xnmn_c 1 xamp_c,#abcdefghijklmnopqrstu > #abcdefghijk #lmnopqrstu
,ADPRDP,,TRUE,add NADSALVAGE,1 xadprib_c > 1 xr5p_c 1 xamp_c,#abcdefghijklmno > #abcde #fghijklmno
THFSYN,THFSYN,"[GTPCI,DNTPPA,DNMPPA,DHNPA2r,HPPK2,ADCS,ADCL,DHPS2,DHFS]",TRUE,combo,1 xglu_DASH_L_c 1 xgtp_c 1 xchor_c > 1 xfor_c 1 xgcald_c 1 xpyr_c ,#abcde #qrstu6789f #ghijklmnop > #f #tu #onp
THFSYN,GTPCI,,TRUE,added THFSYN,1 xgtp_c > 1 xfor_c 1 xahdt_c,#abcdefghij > #j #abcdefghi
THFSYN,DNTPPA,,TRUE,added THFSYN,1 xahdt_c > 1 xdhpmp_c,#abcdefghi > #abcdefghi
THFSYN,DNMPPA,,TRUE,added THFSYN,1 xdhpmp_c > 1 xdhnpt_c,#abcdefghi > #abcdefghi
THFSYN,DHNPA2r,,TRUE,added THFSYN,1 xdhnpt_c > 1 x6hmhpt_c 1 xgcald_c,#abcdefghi > #abcfghi #de
THFSYN,HPPK2,,TRUE,added THFSYN,1 x6hmhpt_c > 1 x6hmhptpp_c,#abcdefg > #abcdefg
THFSYN,ADCS,,TRUE,added THFSYN,1 xchor_c 1 xgln_DASH_L_c > 1 xglu_DASH_L_c 1 x4adcho_c,#abcdefghij #klmno> #abcde #fghijklmno
THFSYN,ADCL,,TRUE,added THFSYN,1 x4adcho_c > 1 xpyr_c 1 x4abz_c,#abcdefghij > #ihj #abcdefg
THFSYN,DHPS2,,TRUE,added THFSYN,1 x6hmhptpp_c 1 x4abz_c > 1 xdhpt_c,#abcdefg #hijklmn > #abcdefghijklmn
THFSYN,DHFS,,TRUE,added THFSYN,1 xdhpt_c 1 xglu_DASH_L_c > 1 xdhf_c,#abcdefghijklmn #opqrs > #abcdefghijklmnopqrs
THFSYN,DHFR,,TRUE,added THFSYN,,
THFSYN,DHFR_reverse,,TRUE,added THFSYN,,
THFSYN,GCALDD,,TRUE,added THFSYN,1 xgcald_c > 1 xglyclt_c,#ab > #ab
GTHSYN,GTHSYN,"[GLUCYS,GTHS]",TRUE,combo,1 xglu_DASH_L_c 1 xcys_DASH_L_c 1 xgly_c > ,#abcde #fgh #ij >
GTHSYN,GLUCYS,,TRUE,added GTHSYN,1 xglu_DASH_L_c 1 xcys_DASH_L_c  > 1 xglucys_c ,#abcde #fgh > #abcdegfh
GTHSYN,GTHS,,TRUE,added GTHSYN,1 xglucys_c 1 xgly_c > 1 xgthrd_c,#abcdefgh #ij > #abcdefgjih
EX_ac,EX_ac_LPAREN_e_RPAREN_,,TRUE,individual,1 xac_e >  ,#ab >
EX_co2,EX_co2_LPAREN_e_RPAREN_,,TRUE,individual,1 xco2_e >  ,#a >
EX_etoh,EX_etoh_LPAREN_e_RPAREN_,,TRUE,individual,1 xetoh_e >  ,#ab >
EX_for,EX_for_LPAREN_e_RPAREN_,,TRUE,individual,1 xfor_e >  ,#a >
EX_fum,EX_fum_LPAREN_e_RPAREN_,,TRUE,individual,1 xfum_e >  ,"#abcd >,#dcba >"
EX_glc,EX_glc_LPAREN_e_RPAREN_,,TRUE,individual,1 xglc_DASH_D_e >  ,#abcdef >
EX_glyc,EX_glyc_LPAREN_e_RPAREN_,,TRUE,individual,1 xglyc_e >  ,"#abc >,#cba >"
EX_lacD,EX_lac_DASH_D_LPAREN_e_RPAREN_,,TRUE,individual,1 xlac_DASH_D_e >  ,#abc >
EX_lacL,EX_lac_DASH_L_LPAREN_e_RPAREN_,,TRUE,individual,1 xlac_DASH_L_e >  ,#abc >
EX_pyr,EX_pyr_LPAREN_e_RPAREN_,,TRUE,individual,1 xpyr_e >  ,#abc >
EX_succ,EX_succ_LPAREN_e_RPAREN_,,TRUE,individual,1 xsucc_e >  ,"#abcd >,#dcba >"
,EX_co_LPAREN_e_RPAREN_,,TRUE,individual,1 xco_e >,#a >
,cotpp,,TRUE,individual,1 xco_c > 1 xco_p,#a > #a
,cotex,,TRUE,individual,1 xco_p > 1 xco_e,#a > #a
,cotpp_reverse,,TRUE,individual,1 xco_p > 1 xco_c,#a > #a
,cotex_reverse,,TRUE,individual,1 xco_e > 1 xco_p,#a > #a
ABTA,ABTA,,TRUE,individual,1 x4abut_c 1 xakg_c > 1 xglu_DASH_L_c 1 xsucsal_c,#abcd #efghi > #efghi #abcd
ACKr,ACKr,,TRUE,individual,1 xac_c > 1 xactp_c,#ab > #ab
ACODA,ACODA,,TRUE,individual,1 xacorn_c > 1 xac_c 1 xorn_c,#abcdefg > #fg #abcde
rACONT,ACONTa,,TRUE,individual,1 xcit_c > 1 xacon_DASH_C_c,#abcdef > #abcdef
rACONT,ACONTb,,TRUE,individual,1 xacon_DASH_C_c > 1 xicit_c,#abcdef > #abcdef
ACOTA,ACOTA,,TRUE,individual,1 xacorn_c 1 xakg_c > 1 xacg5sa_c 1 xglu_DASH_L_c,#abcdefg #hijkl > #abcdefg #hijkl
ACS,ACS,,TRUE,individual,1 xac_c > 1 xaccoa_c,#ab > #ab
ACt2r,ACt2rpp,,TRUE,individual,1 xac_p > 1 xac_c,#ab > #ab
ACt2r,ACtex,,TRUE,individual,1 xac_e > 1 xac_p,#ab > #ab
ADHEr,ALCD2x,,TRUE,individual,1 xaccoa_c > 1 xetoh_c,#ab > #ab
ADHEr,ACALD_reverse,,TRUE,individual,1 xaccoa_c > 1 xacald_c,#ab > #ab
ADHEr_r,ALCD2x_reverse,,TRUE,individual,1 xetoh_c > 1 xaccoa_c,#ab > #ab
ADHEr_r,ACALD,,TRUE,individual,1 xacald_c > 1 xaccoa_c,#ab > #ab
AGPR,AGPR,,TRUE,individual,1 xacg5sa_c > 1 xacg5p_c,#abcdefg > #abcdefg
ALAR,ALAR,,TRUE,individual,1 xala_DASH_L_c > 1 xala_DASH_D_c,#abc > #abc
ALATAL,ALATA_L,,TRUE,individual,1 xakg_c 1 xala_DASH_L_c > 1 xglu_DASH_L_c 1 xpyr_c,#abcde #fgh > #abcde #fgh
ALDD2x,ALDD2x,,TRUE,individual,1 xacald_c > 1 xac_c,#ab > #ab
ARGSL,ARGSL,,TRUE,individual,1 xargsuc_c > 1 xarg_DASH_L_c 1 xfum_c,"#abcdefghij > #abcdef #jghi,#abcdefghij > #abcdef #ihgj"
ARGSS,ARGSS,,TRUE,individual,1 xasp_DASH_L_c 1 xcitr_DASH_L_c > 1 xargsuc_c,#abcd #efghij > #efghijbcda
ASAD,ASAD,,TRUE,individual,1 xaspsa_c > 1 x4pasp_c,#abcd > #abcd
ASNN,ASNN,,TRUE,individual,1 xasn_DASH_L_c > 1 xasp_DASH_L_c,#abcd > #abcd
ASNS1,ASNS1,,TRUE,individual,1 xasp_DASH_L_c 1 xgln_DASH_L_c > 1 xasn_DASH_L_c 1 xglu_DASH_L_c,#abcd #efghi > #abcd #efghi
ASNS2,ASNS2,,TRUE,individual,1 xasp_DASH_L_c > 1 xasn_DASH_L_c,#abcd > #abcd
ASPK,ASPK,,TRUE,individual,1 xasp_DASH_L_c > 1 x4pasp_c,#abcd > #abcd
