Sample Name,Sample Type,Component Group Name
140521_CM1_Level14,Standard,mal-L
140521_CM1_Level14,Standard,glutacon
140521_CM1_Level14,Standard,fum
140521_CM1_Level14,Standard,udpg
140521_CM1_Level14,Standard,udpg
140521_CM1_Level14,Standard,damp
140521_CM1_Level14,Standard,damp
140521_CM1_Level14,Standard,oxa
140521_CM1_Level14,Standard,oxa
140521_CM1_Level14,Standard,actp
140521_CM1_Level14,Standard,actp
140521_CM1_Level14,Standard,akg
140521_CM1_Level14,Standard,oaa
140521_CM1_Level14,Standard,dtdpglu
140521_CM1_Level14,Standard,dtdpglu
140521_CM1_Level14,Standard,nadh
140521_CM1_Level14,Standard,nadh
140521_CM1_Level14,Standard,adpglc
140521_CM1_Level14,Standard,adpglc
140521_CM1_Level14,Standard,chor
140521_CM1_Level14,Standard,fol
140521_CM1_Level14,Standard,fol
140521_CM1_Level14,Standard,dgdp
140521_CM1_Level14,Standard,dgdp
140521_CM1_Level14,Standard,gdp
140521_CM1_Level14,Standard,gdp
140521_CM1_Level14,Standard,6pgc
140521_CM1_Level14,Standard,Pool_2pg_3pg
140521_CM1_Level14,Standard,Pool_2pg_3pg
140521_CM1_Level14,Standard,dcdp
140521_CM1_Level14,Standard,dcdp
140521_CM1_Level14,Standard,adp
140521_CM1_Level14,Standard,adp
140521_CM1_Level14,Standard,2mcit
140521_CM1_Level14,Standard,2mcit
140521_CM1_Level14,Standard,udp
140521_CM1_Level14,Standard,udp
140521_CM1_Level14,Standard,acon-C
140521_CM1_Level14,Standard,acon-C
140521_CM1_Level14,Standard,nadp
140521_CM1_Level14,Standard,nadp
140521_CM1_Level14,Standard,pep
140521_CM1_Level14,Standard,pep
140521_CM1_Level14,Standard,dadp
140521_CM1_Level14,Standard,dadp
140521_CM1_Level14,Standard,cit
140521_CM1_Level14,Standard,cit
140521_CM1_Level14,Standard,icit
140521_CM1_Level14,Standard,icit
140521_CM1_Level14,Standard,fad
140521_CM1_Level14,Standard,fad
140521_CM1_Level14,Standard,fdp
140521_CM1_Level14,Standard,fdp
140521_CM1_Level14,Standard,udpglcur
140521_CM1_Level14,Standard,udpglcur
140521_CM1_Level14,Standard,dgtp
140521_CM1_Level14,Standard,ctp
140521_CM1_Level14,Standard,ctp
140521_CM1_Level14,Standard,dctp
140521_CM1_Level14,Standard,dctp
140521_CM1_Level14,Standard,ditp
140521_CM1_Level14,Standard,ditp
140521_CM1_Level14,Standard,dutp
140521_CM1_Level14,Standard,dutp
140521_CM1_Level14,Standard,itp
140521_CM1_Level14,Standard,itp
140521_CM1_Level14,Standard,utp
140521_CM1_Level14,Standard,utp
140521_CM1_Level14,Standard,23dpg
140521_CM1_Level14,Standard,23dpg
140521_CM1_Level14,Standard,atp
140521_CM1_Level14,Standard,atp
140521_CM1_Level14,Standard,datp
140521_CM1_Level14,Standard,datp
140521_CM1_Level14,Standard,dttp
140521_CM1_Level14,Standard,dttp
140521_CM1_Level14,Standard,gtp
140521_CM1_Level14,Standard,gtp
140521_CM1_Level14,Standard,prpp
140521_CM1_Level14,Standard,prpp
140521_CM1_Level14,Standard,nadph
140521_CM1_Level14,Standard,nadph
140521_CM1_Level14,Standard,phpyr
140521_CM1_Level14,Standard,phpyr
140521_CM1_Level14,Standard,coa
140521_CM1_Level14,Standard,accoa
140521_CM1_Level14,Standard,malcoa
140521_CM1_Level14,Standard,succoa
140521_CM1_Level13,Standard,arg-L
140521_CM1_Level13,Standard,orn
140521_CM1_Level13,Standard,his-L
140521_CM1_Level13,Standard,his-L
140521_CM1_Level13,Standard,asn-L
140521_CM1_Level13,Standard,asn-L
140521_CM1_Level13,Standard,ser-L
140521_CM1_Level13,Standard,ser-L
140521_CM1_Level13,Standard,citr-L
140521_CM1_Level13,Standard,gln-L
140521_CM1_Level13,Standard,gln-L
140521_CM1_Level13,Standard,Hexose_Pool_fru_glc-D
140521_CM1_Level13,Standard,Hexose_Pool_fru_glc-D
140521_CM1_Level13,Standard,Lcystin
140521_CM1_Level13,Standard,thr-L
140521_CM1_Level13,Standard,ala-L
140521_CM1_Level13,Standard,ala-L
140521_CM1_Level13,Standard,cytd
140521_CM1_Level13,Standard,ura
140521_CM1_Level13,Standard,AICAr
140521_CM1_Level13,Standard,met-L
140521_CM1_Level13,Standard,uri
140521_CM1_Level13,Standard,uri
140521_CM1_Level13,Standard,gua
140521_CM1_Level13,Standard,hxan
140521_CM1_Level13,Standard,tyr-L
140521_CM1_Level13,Standard,tyr-L
140521_CM1_Level13,Standard,xan
140521_CM1_Level13,Standard,ins
140521_CM1_Level13,Standard,ins
140521_CM1_Level13,Standard,gsn
140521_CM1_Level13,Standard,gsn
140521_CM1_Level13,Standard,thym
140521_CM1_Level13,Standard,ade
140521_CM1_Level13,Standard,ade
140521_CM1_Level13,Standard,gam6p
140521_CM1_Level13,Standard,gam6p
140521_CM1_Level13,Standard,adn
140521_CM1_Level13,Standard,phe-L
140521_CM1_Level13,Standard,phe-L
140521_CM1_Level13,Standard,asp-L
140521_CM1_Level13,Standard,asp-L
140521_CM1_Level13,Standard,glu-L
140521_CM1_Level13,Standard,glu-L
140521_CM1_Level13,Standard,skm
140521_CM1_Level13,Standard,skm
140521_CM1_Level13,Standard,glx
140521_CM1_Level13,Standard,glyclt
140521_CM1_Level13,Standard,glyclt
140521_CM1_Level13,Standard,trp-L
140521_CM1_Level13,Standard,trp-L
140521_CM1_Level13,Standard,5oxpro
140521_CM1_Level13,Standard,5oxpro
140521_CM1_Level13,Standard,lac-L
140521_CM1_Level13,Standard,lac-L
140521_CM1_Level13,Standard,urate
140521_CM1_Level13,Standard,urate
140521_CM1_Level13,Standard,gthrd
140521_CM1_Level13,Standard,gthrd
140521_CM1_Level13,Standard,nad
140521_CM1_Level13,Standard,nad
140521_CM1_Level13,Standard,pyr
140521_CM1_Level13,Standard,pyr
140521_CM1_Level13,Standard,f6p
140521_CM1_Level13,Standard,f6p
140521_CM1_Level13,Standard,g3p
140521_CM1_Level13,Standard,g3p
140521_CM1_Level13,Standard,g6p
140521_CM1_Level13,Standard,g6p
140521_CM1_Level13,Standard,r5p
140521_CM1_Level13,Standard,r5p
140521_CM1_Level13,Standard,s7p
140521_CM1_Level13,Standard,s7p
140521_CM1_Level13,Standard,glyc3p
140521_CM1_Level13,Standard,glyc3p
140521_CM1_Level13,Standard,r5p
140521_CM1_Level13,Standard,r5p
140521_CM1_Level13,Standard,g1p
140521_CM1_Level13,Standard,g1p
140521_CM1_Level13,Standard,cmp
140521_CM1_Level13,Standard,cmp
140521_CM1_Level13,Standard,ru5p-D
140521_CM1_Level13,Standard,ru5p-D
140521_CM1_Level13,Standard,2obut
140521_CM1_Level13,Standard,2obut
140521_CM1_Level13,Standard,f1p
140521_CM1_Level13,Standard,f1p
140521_CM1_Level13,Standard,ru5p-D
140521_CM1_Level13,Standard,ru5p-D
140521_CM1_Level13,Standard,dcmp
140521_CM1_Level13,Standard,dcmp
140521_CM1_Level13,Standard,ump
140521_CM1_Level13,Standard,ump
140521_CM1_Level13,Standard,dhap
140521_CM1_Level13,Standard,dhap
140521_CM1_Level13,Standard,dump
140521_CM1_Level13,Standard,dump
140521_CM1_Level13,Standard,dimp
140521_CM1_Level13,Standard,dimp
140521_CM1_Level13,Standard,35cgmp
140521_CM1_Level13,Standard,35cgmp
140521_CM1_Level13,Standard,dgmp
140521_CM1_Level13,Standard,dgmp
140521_CM1_Level13,Standard,dtmp
140521_CM1_Level13,Standard,ribflv
140521_CM1_Level13,Standard,amp
140521_CM1_Level13,Standard,amp
140521_CM1_Level13,Standard,gmp
140521_CM1_Level13,Standard,gmp
140521_CM1_Level13,Standard,imp
140521_CM1_Level13,Standard,imp
140521_CM1_Level13,Standard,camp
140521_CM1_Level13,Standard,camp
140521_CM1_Level13,Standard,gthox
140521_CM1_Level13,Standard,gthox
140521_CM1_Level13,Standard,btn
140521_CM1_Level13,Standard,btn
140521_CM1_Level13,Standard,mmal
140521_CM1_Level13,Standard,mmal
140521_CM1_Level13,Standard,succ
140521_CM1_Level13,Standard,succ
140521_CM1_Level13,Standard,mal-L
140521_CM1_Level13,Standard,glutacon
140521_CM1_Level13,Standard,fum
140521_CM1_Level13,Standard,udpg
140521_CM1_Level13,Standard,udpg
140521_CM1_Level13,Standard,damp
140521_CM1_Level13,Standard,damp
140521_CM1_Level13,Standard,oxa
140521_CM1_Level13,Standard,oxa
140521_CM1_Level13,Standard,actp
140521_CM1_Level13,Standard,actp
140521_CM1_Level13,Standard,akg
140521_CM1_Level13,Standard,oaa
