"experiment_id","sample_name_short","time_point","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_"
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","glutacon","glutacon.glutacon_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","glutacon","glutacon.glutacon_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","glutacon","glutacon.glutacon_1.Light",0.187609424019605,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","glutacon","glutacon.glutacon_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","glutacon","glutacon.glutacon_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","glutacon","glutacon.glutacon_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","glx","glx.glx_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","glyc3p","glyc3p.glyc3p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","glyc3p","glyc3p.glyc3p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","glyc3p","glyc3p.glyc3p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","glyc3p","glyc3p.glyc3p_1.Light",,"mM",t
