experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-5,0,dcmp,dcmp.dcmp_1.Light,0.001807387,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dcmp,dcmp.dcmp_1.Light,0.002090933,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dctp,dctp.dctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dctp,dctp.dctp_1.Light,0.000636526,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dctp,dctp.dctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dctp,dctp.dctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dctp,dctp.dctp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dctp,dctp.dctp_1.Light,0.003969869,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,ditp,ditp.ditp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,ditp,ditp.ditp_1.Light,0.001792857,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,ditp,ditp.ditp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,ditp,ditp.ditp_1.Light,0.012039163,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,ditp,ditp.ditp_1.Light,0.001679684,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,ditp,ditp.ditp_1.Light,0.009588083,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dtmp,dtmp.dtmp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dttp,dttp.dttp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dttp,dttp.dttp_1.Light,0.012589651,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,dttp,dttp.dttp_1.Light,0.006452746,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,dttp,dttp.dttp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,dttp,dttp.dttp_1.Light,0.007528808,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,dttp,dttp.dttp_1.Light,0.010446037,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,dump,dump.dump_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,dump,dump.dump_1.Light,,mM,t
