"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
38251,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-5-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-5","ump","ump.ump_1.Light",0.0509035631450373,"mM",f,""
38338,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-6","s7p","s7p.s7p_1.Light",0.0491344433316983,"mM",f,""
38340,"rpomut02","140503_0_OxicRpoBE546VGlcM9_Broth-6-10.0x","140503_0_OxicRpoBE546VGlcM9_Broth-6","ump","ump.ump_1.Light",0.0551812403940484,"mM",f,""
38518,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1","s7p","s7p.s7p_1.Light",0.0553692336576956,"mM",f,""
38520,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1","ump","ump.ump_1.Light",0.0332231768504719,"mM",f,""
38603,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2","ump","ump.ump_1.Light",0.223179035806242,"mM",f,""
38689,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","s7p","s7p.s7p_1.Light",0.0676035730544886,"mM",f,""
38691,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3","ump","ump.ump_1.Light",0.0593331160193484,"mM",f,""
38776,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4","s7p","s7p.s7p_1.Light",0.0469087432424535,"mM",f,""
38778,"rpomut02","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4-10.0x","140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4","ump","ump.ump_1.Light",0.040324883697145,"mM",f,""
