ms_group,q1_mass,rt
ru5p-D.ru5p-D_m2-0,231.0180385,7.8
ru5p-D.ru5p-D_m3-0,232.0213933,7.8
ru5p-D.ru5p-D_m4-0,233.0247482,7.8
ru5p-D.ru5p-D_m5-0,234.028103,7.8
s7p.s7p_m0-0,289.0324582,6.4
s7p.s7p_m1-0,290.035813,6.4
s7p.s7p_m2-0,291.0391679,6.4
s7p.s7p_m3-0,292.0425227,6.4
s7p.s7p_m4-0,293.0458775,6.4
s7p.s7p_m5-0,294.0492324,6.4
s7p.s7p_m6-0,295.0525872,6.4
s7p.s7p_m7-0,296.055942,6.4
skm.skm_m0-0,173.0449984,2.7
skm.skm_m1-0,174.0483532,2.7
skm.skm_m1-1,174.0483532,2.7
skm.skm_m2-1,175.0517081,2.7
skm.skm_m2-2,175.0517081,2.7
skm.skm_m3-2,176.0550629,2.7
skm.skm_m3-3,176.0550629,2.7
skm.skm_m4-3,177.0584178,2.7
skm.skm_m4-4,177.0584178,2.7
skm.skm_m5-4,178.0617726,2.7
skm.skm_m5-5,178.0617726,2.7
skm.skm_m6-5,179.0651274,2.7
skm.skm_m6-6,179.0651274,2.7
skm.skm_m7-6,180.0684823,2.7
succ.succ_m0-0,117.0187836,11.8
succ.succ_m1-1,118.0221385,11.8
succ.succ_m2-2,119.0254933,11.8
succ.succ_m3-3,120.0288482,11.8
succ.succ_m4-4,121.032203,11.8
thr-L.thr-L_m0-0,118.0504181,0.94
thr-L.thr-L_m1-0,119.053773,0.94
thr-L.thr-L_m1-1,119.053773,0.94
thr-L.thr-L_m2-0,120.0571278,0.94
thr-L.thr-L_m2-1,120.0571278,0.94
thr-L.thr-L_m2-2,120.0571278,0.94
thr-L.thr-L_m3-1,121.0604826,0.94
thr-L.thr-L_m3-2,121.0604826,0.94
thr-L.thr-L_m4-2,122.0638375,0.94
ump.ump_m0-0,323.0280415,9.6
ump.ump_m1-0,324.0313963,9.6
ump.ump_m2-0,325.0347512,9.6
ump.ump_m3-0,326.038106,9.6
ump.ump_m4-0,327.0414609,9.6
ump.ump_m5-0,328.0448157,9.6
ump.ump_m6-0,329.0481705,9.6
ump.ump_m7-0,330.0515254,9.6
ump.ump_m8-0,331.0548802,9.6
ump.ump_m9-0,332.058235,9.6
